FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTE001,AHZTE002,AHZTE003,AHZTE004,AHZTE005,AHZTE006,AHZTE007,AHZTE008,AHZTE009,AHZTE010,AHZTE011,AHZTE012,AHZTE013,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH1PE001,AH3PE001,AH3PE002,AH3PE003,AH3PE004,AH3PE005,AH3PE006,AH3PE007,Per_Les_30,Per_Les_20,Per_Les_10,Per_Les_15
135,26,163,505500,1,2.61635E+11,Block Group 1,G5030,S,1436986,0,42.3976485,-82.9994168,G26016305055001,6727.130113,1436986.032,G26016305055001,2013-2017, , ,Michigan,26,Wayne County,163, , ,505500,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5055, Wayne County, Michigan", , ,188,0,4,39,13,31,1,19,9,18,20,0,34,551,33,0,0,0,0,0,6,3,0,6,0,18,42,32,5,122,85,24,136,20,18,1,0,0,21154,625,354,354,221,133,0,271,46.80851064,29.78723404,2.127659574,22.87234043
136,26,163,505500,2,2.61635E+11,Block Group 2,G5030,S,468298,0,42.3952671,-83.0077298,G26016305055002,2884.948171,468298.5542,G26016305055002,2013-2017, , ,Michigan,26,Wayne County,163, , ,505500,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5055, Wayne County, Michigan", , ,109,0,0,20,10,37,0,10,0,4,23,0,5,323,29,0,0,0,0,0,0,0,16,5,0,3,20,40,20,79,20,28,47,5,7,4,0,0,13646,428,145,145,131,14,0,283,61.46788991,27.52293578,0,18.34862385
137,26,163,506100,1,2.61635E+11,Block Group 1,G5030,S,305077,0,42.4446925,-83.0270745,G26016305061001,2324.970237,305078.0644,G26016305061001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506100,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5061, Wayne County, Michigan", , ,457,5,0,15,62,102,5,143,10,30,22,47,16,870,18,0,0,0,0,0,6,0,11,3,0,23,5,63,21,234,21,117,183,106,50,9,0,0,30000,1078,644,644,483,161,0,434,41.35667396,17.94310722,1.094091904,4.376367615
138,26,163,506100,2,2.61635E+11,Block Group 2,G5030,S,617526,0,42.4445055,-83.0344532,G26016305061002,3154.02262,617525.5683,G26016305061002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506100,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5061, Wayne County, Michigan", , ,194,0,24,0,27,36,34,0,6,0,21,46,0,338,8,0,0,0,0,0,0,0,0,0,0,5,24,0,15,104,0,54,83,34,11,0,0,0,19766,426,241,241,194,47,0,185,62.37113402,26.28865979,12.37113402,12.37113402
139,26,163,506200,1,2.61635E+11,Block Group 1,G5030,S,289483,0,42.4376169,-83.0265257,G26016305062001,2350.439209,289482.1401,G26016305062001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506200,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5062, Wayne County, Michigan", , ,213,0,16,13,21,78,32,36,0,17,0,0,0,591,0,0,0,0,0,0,0,0,0,0,13,12,33,48,11,181,28,21,173,32,14,25,0,0,34931,691,371,371,271,100,0,320,75.11737089,23.4741784,7.511737089,13.61502347
140,26,163,506200,2,2.61635E+11,Block Group 2,G5030,S,694001,0,42.4374225,-83.0338456,G26016305062002,3325.962065,693998.7877,G26016305062002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506200,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5062, Wayne County, Michigan", , ,278,0,9,20,18,28,20,110,0,11,14,20,28,628,4,0,0,0,0,0,0,0,0,0,5,8,18,66,31,125,76,11,173,36,29,34,12,0,17411,837,529,529,334,195,0,308,34.17266187,16.90647482,3.237410072,10.43165468
141,26,163,506300,1,2.61635E+11,Block Group 1,G5030,S,275647,0,42.4306808,-83.0263058,G26016305063001,2436.841808,275648.2376,G26016305063001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506300,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5063, Wayne County, Michigan", , ,107,0,0,0,25,24,0,52,0,0,6,0,0,279,1,0,0,0,0,0,0,0,1,7,10,13,32,35,0,55,22,7,74,22,0,0,0,0,22000,341,148,148,107,41,0,193,45.79439252,23.36448598,0,0
142,26,163,506300,2,2.61635E+11,Block Group 2,G5030,S,697129,0,42.4300082,-83.033504,G26016305063002,3485.097225,697130.6603,G26016305063002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506300,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5063, Wayne County, Michigan", , ,210,10,0,5,78,6,0,87,0,0,24,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,15,13,14,61,16,14,173,48,53,0,0,0,33098,514,366,366,239,127,0,148,47.14285714,44.28571429,4.761904762,7.142857143
143,26,163,506300,3,2.61635E+11,Block Group 3,G5030,S,968943,0,42.4229587,-83.0311703,G26016305063003,4004.010248,968941.4397,G26016305063003,2013-2017, , ,Michigan,26,Wayne County,163, , ,506300,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5063, Wayne County, Michigan", , ,279,0,0,26,51,48,15,69,0,0,15,11,44,592,18,0,0,0,0,0,0,0,8,15,8,24,11,0,16,194,73,32,82,31,54,21,5,0,27454,670,300,300,284,16,0,370,50.17921147,27.59856631,0,9.318996416
144,26,163,506400,1,2.61635E+11,Block Group 1,G5030,S,631935,0,42.4216252,-83.0446652,G26016305064001,4145.879352,631931.4151,G26016305064001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506400,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5064, Wayne County, Michigan", , ,215,6,47,31,13,11,6,0,0,60,12,15,14,266,4,0,0,0,0,0,0,0,1,0,0,13,20,13,1,79,4,13,52,54,12,0,0,0,0,310,237,237,217,20,0,73,53.02325581,45.11627907,24.65116279,39.06976744
145,26,163,506400,2,2.61635E+11,Block Group 2,G5030,S,494901,0,42.4216701,-83.0612682,G26016305064002,3640.500484,494900.3072,G26016305064002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506400,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5064, Wayne County, Michigan", , ,113,0,6,7,12,11,16,0,0,0,61,0,0,293,0,0,0,0,0,0,0,0,0,0,0,47,0,9,0,54,43,37,64,24,15,0,0,0,15313,380,167,167,113,54,0,213,46.01769912,22.12389381,5.309734513,11.50442478
146,26,163,506400,3,2.61635E+11,Block Group 3,G5030,S,697754,0,42.4241408,-83.0528936,G26016305064003,4062.415099,697753.2695,G26016305064003,2013-2017, , ,Michigan,26,Wayne County,163, , ,506400,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5064, Wayne County, Michigan", , ,0,0,0,0,0,0,0,0,0,0,0,0,0,894,57,0,0,0,0,0,0,0,0,26,3,20,20,33,31,183,295,172,51,3,0,0,0,0,0,1030,0,0,0,0,0,1030,0,0,0,0
147,26,163,506500,1,2.61635E+11,Block Group 1,G5030,S,323217,0,42.4299885,-83.041224,G26016305065001,2423.124181,323218.8639,G26016305065001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506500,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5065, Wayne County, Michigan", , ,94,3,0,33,7,29,3,17,2,0,0,0,0,230,6,0,0,0,0,0,0,0,0,0,0,0,0,38,2,62,38,4,71,3,6,0,0,0,0,363,239,239,112,127,0,124,79.78723404,45.74468085,3.191489362,38.29787234
148,26,163,506500,2,2.61635E+11,Block Group 2,G5030,S,361409,0,42.429861,-83.0463678,G26016305065002,2515.262771,361410.0279,G26016305065002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506500,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5065, Wayne County, Michigan", , ,199,0,0,73,0,40,6,44,0,13,0,7,16,666,27,0,0,0,0,0,0,0,0,0,5,26,33,120,37,190,35,20,88,67,18,0,0,0,23214,775,398,398,246,152,0,377,59.79899497,36.68341709,0,36.68341709
149,26,163,506500,3,2.61635E+11,Block Group 3,G5030,S,271317,0,42.429762,-83.0511281,G26016305065003,2292.375456,271317.9894,G26016305065003,2013-2017, , ,Michigan,26,Wayne County,163, , ,506500,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5065, Wayne County, Michigan", , ,266,0,0,5,110,52,52,19,11,6,0,11,0,471,0,0,0,0,0,0,0,0,0,0,0,5,27,6,27,91,51,0,203,18,37,6,0,0,31845,595,419,419,293,126,0,176,82.33082707,43.23308271,0,1.879699248
150,26,163,506600,1,2.61635E+11,Block Group 1,G5030,S,258799,0,42.4368828,-83.0559782,G26016305066001,2250.7064,258796.7592,G26016305066001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506600,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5066, Wayne County, Michigan", , ,153,0,0,53,0,8,5,59,0,0,0,0,28,391,13,0,0,0,0,0,0,0,0,0,0,0,10,24,0,163,95,4,40,42,0,0,0,0,11657,486,276,276,214,62,0,210,43.1372549,34.64052288,0,34.64052288
151,26,163,506600,2,2.61635E+11,Block Group 2,G5030,S,449677,0,42.4370111,-83.050582,G26016305066002,2725.079498,449677.1659,G26016305066002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506600,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5066, Wayne County, Michigan", , ,513,0,53,0,93,120,11,131,0,30,36,39,0,887,47,0,0,26,0,0,0,0,0,8,7,13,13,33,16,348,26,22,199,98,31,0,0,0,37092,1093,693,693,529,164,0,400,53.99610136,28.46003899,10.33138402,10.33138402
152,26,163,506600,3,2.61635E+11,Block Group 3,G5030,S,234721,0,42.4371011,-83.045358,G26016305066003,2189.847068,234720.6174,G26016305066003,2013-2017, , ,Michigan,26,Wayne County,163, , ,506600,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5066, Wayne County, Michigan", , ,80,0,6,0,0,6,0,68,0,0,0,0,0,169,20,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,0,0,61,0,15,0,0,0,0,213,137,137,106,31,0,76,15,7.5,7.5,7.5
153,26,163,506600,4,2.61635E+11,Block Group 4,G5030,S,293723,0,42.4372046,-83.0413188,G26016305066004,2330.545937,293723.9913,G26016305066004,2013-2017, , ,Michigan,26,Wayne County,163, , ,506600,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5066, Wayne County, Michigan", , ,158,0,0,26,22,11,10,23,0,35,9,0,22,460,117,44,0,0,0,0,0,0,0,0,0,0,0,38,0,96,0,35,83,37,10,0,0,0,37917,568,337,337,158,179,0,231,43.67088608,30.37974684,0,16.4556962
154,26,163,506700,1,2.61635E+11,Block Group 1,G5030,S,935171,0,42.4441868,-83.046581,G26016305067001,3949.520865,935171.7742,G26016305067001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506700,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5067, Wayne County, Michigan", , ,269,0,6,0,74,55,27,59,0,14,0,34,0,614,1,0,0,0,0,0,3,0,0,0,10,28,7,34,26,181,52,9,156,43,18,34,7,5,34265,845,459,459,274,185,0,386,60.22304833,29.73977695,2.230483271,2.230483271
155,26,163,506800,1,2.61635E+11,Block Group 1,G5030,S,227709,0,42.4436447,-83.0746383,G26016305068001,2149.963458,227708.9019,G26016305068001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506800,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5068, Wayne County, Michigan", , ,228,0,20,11,66,25,26,53,0,0,0,0,27,622,13,0,0,0,0,0,0,0,0,0,7,10,19,11,0,119,96,52,209,39,47,0,0,0,19702,767,387,387,244,143,0,380,64.9122807,42.54385965,8.771929825,13.59649123
156,26,163,506800,2,2.61635E+11,Block Group 2,G5030,S,313253,0,42.4441162,-83.0790711,G26016305068002,2431.130807,313251.5346,G26016305068002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506800,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5068, Wayne County, Michigan", , ,387,0,47,85,41,105,19,81,0,9,0,0,0,495,17,0,0,0,0,0,0,0,0,0,0,36,29,26,9,164,24,20,98,45,27,0,0,0,25301,646,411,411,387,24,0,235,76.74418605,44.70284238,12.14470284,34.10852713
157,26,163,506800,3,2.61635E+11,Block Group 3,G5030,S,1017410,0,42.4438471,-83.0618582,G26016305068003,4176.365206,1017410.696,G26016305068003,2013-2017, , ,Michigan,26,Wayne County,163, , ,506800,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5068, Wayne County, Michigan", , ,330,0,0,54,56,66,14,58,13,9,15,45,0,965,17,0,0,0,0,0,0,0,7,0,7,0,26,25,67,363,94,68,97,105,67,22,0,0,30179,1150,527,527,349,178,0,623,57.57575758,33.33333333,0,16.36363636
158,26,163,506800,4,2.61635E+11,Block Group 4,G5030,S,190496,0,42.4436834,-83.0713604,G26016305068004,2048.28008,190497.293,G26016305068004,2013-2017, , ,Michigan,26,Wayne County,163, , ,506800,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5068, Wayne County, Michigan", , ,200,0,24,24,0,0,0,54,0,38,26,34,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,130,45,42,100,32,0,0,0,0,21757,609,440,440,213,227,0,169,24,24,12,24
159,26,163,506900,1,2.61635E+11,Block Group 1,G5030,S,210566,0,42.436806,-83.059546,G26016305069001,2135.057444,210565.9679,G26016305069001,2013-2017, , ,Michigan,26,Wayne County,163, , ,506900,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5069, Wayne County, Michigan", , ,110,0,19,0,42,22,13,14,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,5,53,0,29,19,10,238,77,23,0,0,0,28289,477,255,255,121,134,0,222,87.27272727,55.45454545,17.27272727,17.27272727
160,26,163,506900,2,2.61635E+11,Block Group 2,G5030,S,210961,0,42.4367413,-83.062748,G26016305069002,2133.758138,210960.9038,G26016305069002,2013-2017, , ,Michigan,26,Wayne County,163, , ,506900,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5069, Wayne County, Michigan", , ,183,24,0,0,0,31,56,30,0,0,39,3,0,345,28,0,0,0,0,0,0,0,0,0,0,0,7,20,14,114,15,28,82,25,12,0,0,0,30982,394,228,228,213,15,0,166,60.6557377,13.1147541,13.1147541,13.1147541
161,26,163,506900,3,2.61635E+11,Block Group 3,G5030,S,200406,0,42.436685,-83.0658662,G26016305069003,2111.873755,200406.9849,G26016305069003,2013-2017, , ,Michigan,26,Wayne County,163, , ,506900,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5069, Wayne County, Michigan", , ,117,0,0,0,0,24,12,24,13,0,7,37,0,417,0,0,0,0,0,0,0,0,0,0,0,26,9,16,0,206,52,0,67,41,0,0,0,0,18333,424,181,181,117,64,0,243,30.76923077,0,0,0
162,26,163,506900,4,2.61635E+11,Block Group 4,G5030,S,201359,0,42.4366174,-83.0689029,G26016305069004,2116.709253,201358.6044,G26016305069004,2013-2017, , ,Michigan,26,Wayne County,163, , ,506900,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5069, Wayne County, Michigan", , ,218,0,0,0,13,57,11,51,0,61,0,25,0,472,0,0,0,0,0,0,0,17,0,0,0,0,32,24,0,84,47,15,115,46,92,0,0,0,36860,555,339,339,247,92,0,216,37.1559633,5.963302752,0,0
163,26,163,506900,5,2.61635E+11,Block Group 5,G5030,S,385020,0,42.4370286,-83.0735212,G26016305069005,2662.559689,385018.4182,G26016305069005,2013-2017, , ,Michigan,26,Wayne County,163, , ,506900,5, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 5, Census Tract 5069, Wayne County, Michigan", , ,286,0,0,34,14,32,0,140,0,0,0,39,27,730,0,0,0,0,0,0,0,0,0,0,40,13,42,84,0,229,60,50,128,75,9,0,0,0,30417,908,339,339,286,53,0,569,27.97202797,16.78321678,0,11.88811189
164,26,163,507000,1,2.61635E+11,Block Group 1,G5030,S,359579,0,42.4296775,-83.0558848,G26016305070001,2504.952979,359579.1161,G26016305070001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507000,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5070, Wayne County, Michigan", , ,225,0,11,0,16,34,0,105,0,9,0,50,0,763,6,0,0,0,0,0,0,24,0,2,4,2,101,72,61,187,45,13,149,82,4,11,0,0,9906,885,406,406,239,167,0,479,27.11111111,12,4.888888889,4.888888889
165,26,163,507000,2,2.61635E+11,Block Group 2,G5030,S,489189,0,42.4297749,-83.0623951,G26016305070002,3110.799383,489190.2219,G26016305070002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507000,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5070, Wayne County, Michigan", , ,234,0,0,39,0,24,10,91,0,59,0,0,11,582,0,0,0,0,0,0,0,0,0,0,7,0,0,19,17,143,31,55,197,15,74,24,0,0,30052,767,398,398,248,150,0,369,31.1965812,16.66666667,0,16.66666667
166,26,163,507000,3,2.61635E+11,Block Group 3,G5030,S,337239,0,42.4295967,-83.0686286,G26016305070003,2660.845816,337240.8889,G26016305070003,2013-2017, , ,Michigan,26,Wayne County,163, , ,507000,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5070, Wayne County, Michigan", , ,149,0,11,0,41,50,9,35,0,3,0,0,0,453,14,0,0,0,0,0,0,0,0,0,0,0,0,42,17,31,71,70,121,37,35,15,0,0,25714,538,303,303,149,154,0,235,74.4966443,34.89932886,7.382550336,7.382550336
167,26,163,507100,1,2.61635E+11,Block Group 1,G5030,S,211730,0,42.4303727,-83.0744385,G26016305071001,1914.03098,211729.5018,G26016305071001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5071, Wayne County, Michigan", , ,53,0,0,11,9,13,0,0,0,0,0,0,20,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,27,9,22,0,0,29,27917,168,90,90,53,37,0,78,62.26415094,37.73584906,0,20.75471698
168,26,163,507100,2,2.61635E+11,Block Group 2,G5030,S,243075,0,42.4306041,-83.0799132,G26016305071002,1975.798485,243073.3403,G26016305071002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5071, Wayne County, Michigan", , ,225,0,8,10,39,29,24,69,0,0,34,0,12,822,10,0,0,0,0,0,0,0,0,0,0,34,61,48,94,122,131,0,273,22,18,9,0,0,23952,880,453,453,234,219,0,427,48.88888889,25.33333333,3.555555556,8
169,26,163,507100,3,2.61635E+11,Block Group 3,G5030,S,245548,0,42.424534,-83.0766808,G26016305071003,2374.993426,245548.2957,G26016305071003,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5071, Wayne County, Michigan", , ,293,0,0,74,0,10,0,81,27,43,0,58,0,474,1,0,0,0,0,0,0,0,0,0,0,46,0,70,8,156,37,0,42,55,59,0,0,0,0,504,293,293,293,0,0,211,28.66894198,25.2559727,0,25.2559727
170,26,163,507100,4,2.61635E+11,Block Group 4,G5030,S,379314,0,42.4265371,-83.0749405,G26016305071004,3439.038817,379310.8698,G26016305071004,2013-2017, , ,Michigan,26,Wayne County,163, , ,507100,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5071, Wayne County, Michigan", , ,186,0,0,9,0,14,29,91,0,0,0,9,34,481,0,0,0,0,0,0,0,0,0,0,35,10,47,10,0,125,38,19,107,43,39,8,0,0,19183,543,270,270,195,75,0,273,27.95698925,4.838709677,0,4.838709677
171,26,163,507200,1,2.61635E+11,Block Group 1,G5030,S,225608,0,42.4209158,-83.0798106,G26016305072001,1916.076604,225609.6595,G26016305072001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507200,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5072, Wayne County, Michigan", , ,140,0,58,7,39,6,0,24,0,0,0,6,0,346,0,0,0,0,0,16,0,0,5,0,28,6,7,37,5,91,19,17,73,15,27,0,0,0,22500,403,231,231,156,75,0,172,78.57142857,74.28571429,41.42857143,46.42857143
172,26,163,507200,2,2.61635E+11,Block Group 2,G5030,S,529000,0,42.4209207,-83.0711853,G26016305072002,3130.650568,528998.9375,G26016305072002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507200,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5072, Wayne County, Michigan", , ,135,10,0,4,20,11,9,37,5,0,23,0,16,397,3,0,0,0,0,0,0,0,0,0,5,23,5,41,13,96,45,24,58,50,16,12,6,0,16417,471,242,242,135,107,0,229,40,25.18518519,7.407407407,10.37037037
173,26,163,507300,1,2.61635E+11,Block Group 1,G5030,S,342258,0,42.4289892,-83.085161,G26016305073001,2501.910195,342256.422,G26016305073001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507300,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5073, Wayne County, Michigan", , ,375,0,30,59,62,30,0,28,45,0,67,54,0,687,50,0,0,0,0,0,0,0,0,0,0,7,0,0,17,247,48,32,205,59,9,5,0,8,31111,851,467,467,385,82,0,384,48.26666667,40.26666667,8,23.73333333
174,26,163,507300,2,2.61635E+11,Block Group 2,G5030,S,284004,0,42.4303201,-83.0910277,G26016305073002,2140.186138,284006.5533,G26016305073002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507300,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5073, Wayne County, Michigan", , ,103,0,14,0,47,22,0,1,0,0,0,19,0,315,0,0,0,0,0,0,0,0,0,0,9,0,11,13,17,149,32,18,28,22,16,0,0,0,30370,332,145,145,103,42,0,187,80.58252427,59.22330097,13.59223301,13.59223301
175,26,163,507300,3,2.61635E+11,Block Group 3,G5030,S,683617,0,42.4232113,-83.0876657,G26016305073003,3718.413542,683614.3541,G26016305073003,2013-2017, , ,Michigan,26,Wayne County,163, , ,507300,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5073, Wayne County, Michigan", , ,177,0,0,19,37,14,0,35,18,0,37,17,0,284,1,0,0,0,0,0,0,0,0,0,32,7,0,0,0,106,23,0,77,37,1,0,0,0,29375,428,219,219,177,42,0,209,39.5480226,31.63841808,0,10.73446328
176,26,163,507400,1,2.61635E+11,Block Group 1,G5030,S,247293,0,42.4341219,-83.0799191,G26016305074001,2362.193686,247293.7409,G26016305074001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507400,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5074, Wayne County, Michigan", , ,77,0,0,0,26,0,0,9,11,0,23,8,0,345,0,0,0,0,0,0,0,9,0,0,0,11,0,22,9,86,47,0,117,15,29,0,0,0,26100,370,150,150,77,73,0,220,33.76623377,33.76623377,0,0
177,26,163,507400,2,2.61635E+11,Block Group 2,G5030,S,523281,0,42.4375532,-83.0890879,G26016305074002,3060.09054,523281.1484,G26016305074002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507400,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5074, Wayne County, Michigan", , ,332,0,27,18,104,48,30,53,22,3,0,27,0,679,49,0,0,0,0,0,0,0,0,0,0,0,0,45,31,213,66,40,166,35,19,15,0,0,30132,847,428,428,332,96,0,419,68.37349398,44.87951807,8.13253012,13.55421687
178,26,163,507400,3,2.61635E+11,Block Group 3,G5030,S,248813,0,42.4375281,-83.0800326,G26016305074003,2075.932062,248812.5794,G26016305074003,2013-2017, , ,Michigan,26,Wayne County,163, , ,507400,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5074, Wayne County, Michigan", , ,178,8,0,53,33,20,0,33,0,0,0,31,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,95,26,60,128,0,15,0,0,0,30893,424,280,280,202,78,0,144,64.04494382,52.80898876,4.494382022,34.26966292
179,26,163,507400,4,2.61635E+11,Block Group 4,G5030,S,220212,0,42.4338984,-83.0901873,G26016305074004,2123.583868,220211.809,G26016305074004,2013-2017, , ,Michigan,26,Wayne County,163, , ,507400,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5074, Wayne County, Michigan", , ,172,0,0,68,54,0,29,11,0,0,10,0,0,339,0,0,0,0,0,0,0,0,0,0,0,8,19,12,10,85,0,77,82,0,25,21,0,0,44200,455,276,276,196,80,0,179,87.79069767,70.93023256,0,39.53488372
180,26,163,507500,1,2.61635E+11,Block Group 1,G5030,S,375006,0,42.4453688,-83.0896318,G26016305075001,3615.183497,375005.9786,G26016305075001,2013-2017, , ,Michigan,26,Wayne County,163, , ,507500,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5075, Wayne County, Michigan", , ,216,0,0,29,47,68,6,22,0,0,29,15,0,562,0,0,0,0,0,0,0,0,17,0,10,24,0,55,22,130,46,39,172,26,21,0,0,0,11113,658,256,256,222,34,0,402,69.44444444,35.18518519,0,13.42592593
181,26,163,507500,2,2.61635E+11,Block Group 2,G5030,S,251183,0,42.4424218,-83.0872426,G26016305075002,2012.125577,251182.5268,G26016305075002,2013-2017, , ,Michigan,26,Wayne County,163, , ,507500,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5075, Wayne County, Michigan", , ,356,0,0,54,40,36,84,65,8,0,0,0,69,630,0,0,0,0,0,0,0,0,0,0,7,10,7,0,5,284,81,54,121,31,9,14,0,7,43333,795,376,376,356,20,0,419,60.11235955,26.40449438,0,15.16853933
182,26,163,507500,3,2.61635E+11,Block Group 3,G5030,S,267246,0,42.4427293,-83.0927957,G26016305075003,2406.277422,267247.207,G26016305075003,2013-2017, , ,Michigan,26,Wayne County,163, , ,507500,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5075, Wayne County, Michigan", , ,54,0,0,0,12,9,15,12,0,6,0,0,0,233,0,0,0,0,0,0,0,0,0,0,6,17,6,0,9,84,34,45,12,6,14,0,0,0,17188,254,103,103,63,40,0,151,66.66666667,22.22222222,0,0
