GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTE001,AHZTE002,AHZTE003,AHZTE004,AHZTE005,AHZTE006,AHZTE007,AHZTE008,AHZTE009,AHZTE010,AHZTE011,AHZTE012,AHZTE013,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH1PE001,AH3PE001,AH3PE002,AH3PE003,AH3PE004,AH3PE005,AH3PE006,AH3PE007
G26007700019061,2013-2017,,,Michigan,26,Kalamazoo County,77,,,1906,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 19.06, Kalamazoo County, Michigan",,,1139,23,117,363,350,159,41,22,25,39,0,0,0,1217,0,0,0,0,0,0,0,0,0,0,15,0,25,0,35,180,42,79,219,129,369,90,0,34,39934,1511,1241,1241,1155,86,0,270
G26007700019062,2013-2017,,,Michigan,26,Kalamazoo County,77,,,1906,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 19.06, Kalamazoo County, Michigan",,,1143,72,281,150,116,256,177,52,0,39,0,0,0,1127,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,135,0,50,296,77,356,145,15,48,58409,1481,1212,1212,1143,69,0,269
G26007700019063,2013-2017,,,Michigan,26,Kalamazoo County,77,,,1906,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 19.06, Kalamazoo County, Michigan",,,475,4,0,119,83,112,85,41,0,0,31,0,0,787,3,0,0,0,0,0,0,0,0,0,0,0,10,0,16,143,31,95,159,68,121,117,24,0,54141,871,548,548,519,29,0,323
G26007700019071,2013-2017,,,Michigan,26,Kalamazoo County,77,,,1907,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 19.07, Kalamazoo County, Michigan",,,290,23,41,65,48,29,25,24,0,0,11,24,0,512,14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,174,13,48,61,74,58,37,12,8,35069,608,355,355,313,42,0,253
G26007700019072,2013-2017,,,Michigan,26,Kalamazoo County,77,,,1907,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 19.07, Kalamazoo County, Michigan",,,935,0,140,150,261,117,94,82,4,0,27,43,17,1549,8,0,0,0,0,0,0,0,0,0,0,0,0,18,7,367,94,180,216,129,245,199,28,58,41653,1805,1011,981,943,38,30,794
G26007700019073,2013-2017,,,Michigan,26,Kalamazoo County,77,,,1907,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 19.07, Kalamazoo County, Michigan",,,492,0,58,144,153,67,14,33,11,6,0,6,0,684,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,103,0,30,73,117,202,109,6,27,91023,822,540,540,540,0,0,282
G26007700020021,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2002,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 20.02, Kalamazoo County, Michigan",,,352,36,36,79,102,27,7,15,0,21,9,20,0,549,0,0,0,0,0,0,0,0,0,0,6,0,0,7,5,73,13,55,91,68,154,51,17,9,80260,583,371,371,362,9,0,212
G26007700020022,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2002,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 20.02, Kalamazoo County, Michigan",,,925,56,114,146,218,140,68,56,44,9,44,30,0,1254,2,0,0,0,0,0,0,0,0,0,7,0,11,8,0,216,52,125,221,162,290,138,13,9,58646,1428,1011,1004,945,59,7,417
G26007700020023,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2002,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 20.02, Kalamazoo County, Michigan",,,819,13,75,117,264,133,69,95,22,7,14,10,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,46,118,69,416,158,35,14,77237,1175,830,830,819,11,0,345
G26007700020031,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2003,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 20.03, Kalamazoo County, Michigan",,,1183,26,111,411,242,170,53,34,30,39,20,33,14,1596,0,0,0,0,0,0,0,0,0,0,0,0,13,0,61,119,0,63,123,121,665,378,45,8,80870,1962,1313,1313,1239,74,0,649
G26007700020032,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2003,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 20.03, Kalamazoo County, Michigan",,,1961,46,250,468,200,344,114,283,32,62,66,46,50,2614,16,0,0,0,0,0,0,0,0,0,0,1,0,0,40,668,33,104,344,264,656,293,68,127,76750,3026,2195,2195,2066,129,0,831
G26007700020041,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2004,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 20.04, Kalamazoo County, Michigan",,,1101,29,82,156,383,162,31,115,43,28,35,26,11,1617,1,0,0,0,0,0,0,0,0,2,8,1,1,0,17,168,39,46,157,54,646,312,100,65,106959,1802,1228,1228,1197,31,0,574
G26007700020042,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2004,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 20.04, Kalamazoo County, Michigan",,,710,20,90,76,134,171,46,39,52,18,39,25,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,8,64,140,119,399,229,65,26,62989,1320,775,775,775,0,0,545
G26007700020051,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2005,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 20.05, Kalamazoo County, Michigan",,,307,0,86,99,76,12,0,0,0,0,9,0,25,347,0,0,0,0,0,0,0,0,0,0,0,0,23,34,0,60,23,60,68,27,34,0,9,9,14884,520,362,362,316,46,0,158
G26007700020052,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2005,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 20.05, Kalamazoo County, Michigan",,,698,0,128,152,166,135,72,23,0,0,22,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,19,62,152,111,210,190,7,48,104901,1096,708,708,698,10,0,388
G26007700020053,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2005,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 20.05, Kalamazoo County, Michigan",,,854,26,106,157,171,200,46,40,41,16,10,37,4,1198,0,0,0,0,0,0,0,0,0,0,8,0,9,0,9,136,2,44,71,95,419,266,32,107,94167,1395,959,959,892,67,0,436
G26007700021011,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2101,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 21.01, Kalamazoo County, Michigan",,,675,14,125,115,63,168,0,41,36,15,36,40,22,909,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,312,90,32,120,114,124,72,20,0,56066,1032,758,758,694,64,0,274
G26007700021012,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2101,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 21.01, Kalamazoo County, Michigan",,,489,19,33,36,65,79,137,62,0,0,0,58,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,145,0,30,60,42,224,67,0,0,54519,786,569,569,517,52,0,217
G26007700021013,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2101,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 21.01, Kalamazoo County, Michigan",,,1515,21,162,400,262,308,136,96,0,19,34,35,42,2190,2,0,0,0,0,0,0,0,0,0,12,0,19,18,0,348,101,143,297,303,629,263,13,42,93036,2487,1676,1676,1615,61,0,811
G26007700021014,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2101,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 21.01, Kalamazoo County, Michigan",,,632,0,13,120,241,93,64,26,0,20,41,14,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,15,126,178,75,269,158,16,12,59438,1130,756,756,734,22,0,374
G26007700021015,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2101,5,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 21.01, Kalamazoo County, Michigan",,,296,0,16,44,35,92,46,43,20,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,45,0,118,60,124,116,35,0,0,77670,598,296,296,296,0,0,302
G26007700021021,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2102,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 21.02, Kalamazoo County, Michigan",,,341,0,88,75,84,41,21,21,0,5,0,6,0,622,0,0,0,0,0,0,0,0,0,0,0,13,38,0,7,227,30,11,67,109,63,52,5,0,45000,725,410,410,380,30,0,315
G26007700021022,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2102,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 21.02, Kalamazoo County, Michigan",,,887,21,130,54,110,178,62,153,24,58,55,36,6,1445,2,0,0,0,0,0,0,0,2,27,0,7,0,0,24,261,25,63,231,158,415,176,26,28,80417,1544,1048,1048,1001,47,0,496
G26007700022011,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2201,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 22.01, Kalamazoo County, Michigan",,,268,11,12,50,33,63,0,18,6,26,14,16,19,500,0,0,0,0,0,0,0,0,0,5,0,19,11,5,18,184,50,32,71,41,44,6,14,0,39000,551,297,297,274,23,0,254
G26007700022012,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2201,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 22.01, Kalamazoo County, Michigan",,,287,12,61,104,44,44,6,5,0,0,11,0,0,483,0,0,0,0,0,0,0,0,0,0,0,22,31,10,6,224,22,54,56,38,16,4,0,0,36250,578,338,338,319,19,0,240
G26007700022013,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2201,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 22.01, Kalamazoo County, Michigan",,,456,15,61,132,102,58,15,62,0,0,0,11,0,485,0,0,0,0,0,0,0,0,0,0,5,14,0,30,9,172,42,89,48,31,34,5,0,6,41806,675,480,480,461,19,0,195
G26007700022021,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2202,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 22.02, Kalamazoo County, Michigan",,,959,0,113,211,162,283,47,36,9,57,41,0,0,1301,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,330,0,205,158,183,255,106,14,15,66793,1550,1076,1076,1058,18,0,474
G26007700022022,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2202,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 22.02, Kalamazoo County, Michigan",,,472,0,97,101,67,67,19,79,0,0,23,19,0,746,16,0,0,0,0,0,0,0,0,0,0,11,11,0,35,151,20,44,172,62,112,112,0,0,57386,886,550,550,510,40,0,336
G26007700022023,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2202,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 22.02, Kalamazoo County, Michigan",,,495,9,54,103,154,33,52,43,0,0,22,12,13,924,19,0,0,0,0,0,0,0,0,0,20,0,79,86,0,214,17,96,156,62,161,14,0,0,38643,1044,597,597,547,50,0,447
G26007700022024,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2202,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 22.02, Kalamazoo County, Michigan",,,755,47,94,82,128,97,28,182,0,14,54,29,0,849,0,0,0,0,0,0,0,0,0,0,0,0,11,44,0,299,22,70,127,145,105,26,0,0,46375,1136,826,826,773,53,0,310
G26007700022025,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2202,5,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 22.02, Kalamazoo County, Michigan",,,378,0,14,36,180,90,0,30,0,0,0,28,0,414,19,0,0,0,0,0,0,19,0,0,0,0,0,0,15,57,35,76,55,0,87,51,0,0,66838,524,411,411,378,33,0,113
G26007700022026,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2202,6,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 22.02, Kalamazoo County, Michigan",,,1282,59,59,195,299,270,245,64,44,0,0,47,0,1218,0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,108,0,132,100,141,308,316,49,36,40619,1574,1346,1346,1297,49,0,228
G26007700026011,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2601,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 26.01, Kalamazoo County, Michigan",,,277,9,17,57,9,16,19,84,9,8,0,10,39,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,23,16,75,25,172,74,26,19,70529,537,307,307,295,12,0,230
G26007700026012,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2601,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 26.01, Kalamazoo County, Michigan",,,364,9,72,27,67,10,28,78,0,0,9,47,17,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,44,16,45,309,114,20,28,88789,680,400,400,391,9,0,280
G26007700026013,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2601,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 26.01, Kalamazoo County, Michigan",,,552,0,75,45,85,154,39,59,8,10,10,9,58,831,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,131,10,68,153,78,198,146,29,0,78162,948,615,615,589,26,0,333
G26007700026014,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2601,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 26.01, Kalamazoo County, Michigan",,,542,34,104,65,72,71,53,78,19,10,11,19,6,665,4,0,0,0,0,0,0,0,0,0,39,2,15,7,11,220,78,73,98,51,41,26,0,0,46337,744,580,580,546,34,0,164
G26007700026015,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2601,5,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 26.01, Kalamazoo County, Michigan",,,675,8,33,79,66,136,82,126,32,2,51,60,0,971,4,0,0,0,0,0,0,0,0,0,10,3,0,0,2,164,23,77,164,100,322,68,10,24,80625,1140,733,706,686,20,27,407
G26007700027001,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2700,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 27, Kalamazoo County, Michigan",,,1159,19,97,76,194,204,114,326,62,0,57,8,2,1403,0,0,0,0,0,0,0,0,0,0,9,0,6,16,3,169,11,109,219,238,373,220,28,2,82241,1721,1257,1257,1242,15,0,464
G26007700027002,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2700,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 27, Kalamazoo County, Michigan",,,735,75,53,0,84,160,155,96,16,33,51,0,12,969,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,254,0,110,132,124,193,137,0,1,59018,1086,770,770,750,20,0,316
G26007700027003,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2700,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 27, Kalamazoo County, Michigan",,,754,13,23,87,61,243,177,30,0,83,6,2,29,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,365,17,80,147,93,381,156,5,31,72356,1498,810,810,809,1,0,688
G26007700027004,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2700,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 27, Kalamazoo County, Michigan",,,1319,0,109,296,313,187,165,185,0,0,30,34,0,1768,35,0,0,0,0,0,0,0,0,0,0,0,15,52,16,254,15,133,280,209,405,229,57,68,88354,2105,1460,1460,1432,28,0,645
G26007700028011,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2801,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 28.01, Kalamazoo County, Michigan",,,779,69,114,51,116,198,82,68,11,18,22,9,21,1195,34,0,0,0,32,0,0,0,0,0,0,0,27,11,11,258,19,121,150,175,193,97,9,58,70789,1408,855,855,825,30,0,553
G26007700028012,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2801,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 28.01, Kalamazoo County, Michigan",,,1142,55,63,148,138,293,154,146,28,27,25,30,35,1713,6,0,0,0,0,0,0,0,1,0,0,30,10,10,9,496,10,99,217,164,405,210,30,16,61810,1991,1275,1275,1191,84,0,716
G26007700028021,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2802,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 28.02, Kalamazoo County, Michigan",,,623,0,85,88,99,164,53,122,0,0,0,12,0,1138,0,0,0,0,0,8,0,0,0,0,27,9,23,0,0,380,65,74,196,109,204,43,0,0,57000,1309,663,663,637,26,0,646
G26007700028022,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2802,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 28.02, Kalamazoo County, Michigan",,,476,0,10,64,113,60,32,113,0,47,0,37,0,632,0,0,0,0,0,0,0,0,0,0,0,0,18,0,13,193,29,109,104,48,87,31,0,0,57404,728,508,508,476,32,0,220
G26007700028023,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2802,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 28.02, Kalamazoo County, Michigan",,,292,12,12,50,44,58,45,71,0,0,0,0,0,708,6,0,0,0,0,0,0,0,0,0,0,0,24,0,0,69,0,139,185,39,195,51,0,0,54417,774,333,333,311,22,0,441
G26007700028024,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2802,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 28.02, Kalamazoo County, Michigan",,,1349,14,109,336,247,147,108,230,57,19,56,0,26,1538,12,0,0,0,0,0,0,0,0,14,0,0,35,6,18,320,75,85,176,180,459,99,42,17,68266,1964,1456,1456,1404,52,0,508
G26007700029011,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2901,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 29.01, Kalamazoo County, Michigan",,,606,50,44,14,115,143,37,126,0,0,42,0,35,1008,8,0,0,0,0,4,0,0,4,8,3,0,26,15,0,258,39,54,181,119,141,136,12,0,83083,1110,739,739,680,59,0,371
G26007700029012,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2901,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 29.01, Kalamazoo County, Michigan",,,483,9,50,64,32,128,59,64,0,13,37,27,0,893,0,0,0,0,0,0,0,0,0,0,8,0,0,18,18,244,17,51,197,76,196,30,38,0,42614,916,583,583,572,11,0,333
G26007700029013,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2901,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 29.01, Kalamazoo County, Michigan",,,655,24,16,54,221,156,141,28,0,4,11,0,0,840,3,0,0,0,0,0,0,0,0,2,0,0,1,2,12,236,1,64,152,72,189,84,0,22,71291,1055,681,681,663,18,0,374
G26007700029031,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2903,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 29.03, Kalamazoo County, Michigan",,,758,0,180,71,307,100,26,56,0,0,18,0,0,1000,0,0,0,0,0,0,0,0,0,3,0,0,5,34,35,223,16,100,81,73,142,96,56,136,33598,1625,892,892,817,75,0,733
G26007700029032,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2903,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 29.03, Kalamazoo County, Michigan",,,855,59,98,102,145,302,27,48,11,21,42,0,0,1327,0,0,0,0,0,0,0,0,0,0,29,0,0,50,0,290,11,54,421,57,166,193,41,15,29719,1759,1115,1115,889,226,0,644
G26007700029033,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2903,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 29.03, Kalamazoo County, Michigan",,,671,16,90,35,280,109,42,0,23,0,43,0,33,884,0,0,0,0,0,0,0,0,0,0,0,43,0,0,14,58,13,42,181,114,154,257,0,8,23105,1320,1048,1048,818,230,0,272
G26007700029041,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2904,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 29.04, Kalamazoo County, Michigan",,,805,17,29,58,156,308,55,33,0,60,89,0,0,1336,5,0,0,0,0,0,0,0,0,0,28,0,29,0,0,189,37,90,227,137,339,152,70,33,68648,1555,927,927,897,30,0,628
G26007700029042,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2904,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 29.04, Kalamazoo County, Michigan",,,1419,0,34,306,565,251,45,13,69,13,63,33,27,2368,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,271,87,119,243,123,704,535,94,163,105800,2439,1619,1619,1543,76,0,820
G26007700029043,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2904,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 29.04, Kalamazoo County, Michigan",,,839,0,43,176,73,298,90,76,20,0,38,25,0,1173,0,0,0,0,0,0,0,0,0,0,0,117,0,15,0,298,0,42,127,117,202,154,37,64,70362,1350,870,870,870,0,0,480
G26007700029044,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2904,4,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 29.04, Kalamazoo County, Michigan",,,1611,93,116,320,257,187,71,178,62,200,63,21,43,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,103,21,20,62,160,317,234,0,16,43061,2487,1948,1948,1706,242,0,539
G26007700029051,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2905,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 29.05, Kalamazoo County, Michigan",,,1138,59,97,191,305,212,109,95,14,14,15,27,0,2069,4,0,0,0,0,0,0,0,0,4,4,14,12,29,12,486,73,155,177,237,539,224,58,41,36028,2535,1220,1220,1176,44,0,1315
G26007700029052,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2905,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 29.05, Kalamazoo County, Michigan",,,843,17,69,110,148,255,83,33,0,37,18,0,73,1429,0,0,0,0,14,0,0,21,0,0,0,0,34,56,0,195,13,83,341,121,280,209,14,48,61836,1797,1130,1130,949,181,0,667
G26007700029053,2013-2017,,,Michigan,26,Kalamazoo County,77,,,2905,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 29.05, Kalamazoo County, Michigan",,,1419,0,228,189,449,233,57,169,0,69,25,0,0,2000,87,0,0,0,0,0,0,0,0,0,0,0,14,0,49,260,0,140,607,146,490,124,45,38,42143,2244,1505,1505,1474,31,0,739
G26007700030021,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3002,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 30.02, Kalamazoo County, Michigan",,,1041,17,85,96,119,216,152,178,37,24,65,41,11,1567,0,0,0,0,0,0,0,0,0,0,7,5,7,7,0,396,69,121,296,186,331,126,6,10,81797,1886,1228,1228,1141,87,0,658
G26007700030031,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3003,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 30.03, Kalamazoo County, Michigan",,,1260,15,74,97,268,272,131,204,16,94,27,62,0,2138,0,0,0,0,0,0,0,0,0,0,0,23,0,0,14,362,60,106,329,225,653,236,75,55,102540,2265,1439,1419,1363,56,20,826
G26007700030032,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3003,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 30.03, Kalamazoo County, Michigan",,,699,0,66,122,193,175,46,46,22,17,12,0,0,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,220,0,146,350,108,337,115,50,11,56471,1601,848,848,824,24,0,753
G26007700030033,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3003,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 30.03, Kalamazoo County, Michigan",,,1594,41,154,147,254,375,155,267,15,131,16,25,14,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,270,0,163,305,232,610,239,189,60,137708,2395,1776,1776,1724,52,0,619
G26007700030041,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3004,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 30.04, Kalamazoo County, Michigan",,,1091,14,63,169,252,186,0,81,91,58,86,43,48,1653,0,0,0,0,0,0,0,0,0,0,0,0,43,16,0,326,0,88,222,117,453,267,28,93,88603,1930,1320,1320,1215,105,0,610
G26007700030042,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3004,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 30.04, Kalamazoo County, Michigan",,,1073,0,43,208,383,202,51,31,45,32,47,31,0,1396,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,92,0,122,76,174,502,215,131,65,111776,1582,1132,1132,1132,0,0,450
G26007700030043,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3004,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 30.04, Kalamazoo County, Michigan",,,1578,27,101,320,179,524,67,107,63,46,45,45,54,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,64,98,175,745,456,91,212,143325,2423,1831,1831,1774,57,0,592
G26007700033021,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3302,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 33.02, Kalamazoo County, Michigan",,,388,0,63,139,58,87,41,0,0,0,0,0,0,907,0,0,0,0,0,0,0,0,0,0,64,55,111,76,39,233,20,51,200,37,21,0,0,0,18189,1069,584,584,401,183,0,485
G26007700033022,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3302,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 33.02, Kalamazoo County, Michigan",,,588,0,67,141,153,40,0,82,45,15,11,11,23,806,0,0,0,0,0,0,0,0,0,20,0,0,0,0,14,161,40,88,130,116,144,52,25,16,65000,959,649,649,607,42,0,310
G26007700033023,2013-2017,,,Michigan,26,Kalamazoo County,77,,,3302,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 33.02, Kalamazoo County, Michigan",,,1336,0,90,262,277,218,111,150,26,110,79,13,0,1658,3,0,0,0,0,0,0,0,0,0,12,0,4,16,33,341,49,119,351,389,297,44,0,0,86389,1872,1531,1531,1509,22,0,341
