GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTM001,AHZTM002,AHZTM003,AHZTM004,AHZTM005,AHZTM006,AHZTM007,AHZTM008,AHZTM009,AHZTM010,AHZTM011,AHZTM012,AHZTM013,AH04M001,AH04M002,AH04M003,AH04M004,AH04M005,AH04M006,AH04M007,AH04M008,AH04M009,AH04M010,AH04M011,AH04M012,AH04M013,AH04M014,AH04M015,AH04M016,AH04M017,AH04M018,AH04M019,AH04M020,AH04M021,AH04M022,AH04M023,AH04M024,AH04M025,AH1PM001,AH3PM001,AH3PM002,AH3PM003,AH3PM004,AH3PM005,AH3PM006,AH3PM007
"G26001900003001","2013-2017",,,"Michigan","26","Benzie County","019",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Benzie County, Michigan",,,50,10,21,20,17,22,7,10,5,10,12,6,8,61,10,10,10,10,10,10,10,10,10,10,10,8,10,10,5,27,10,12,27,14,39,26,12,11,6125,72,47,47,47,15,10,54
"G26001900003002","2013-2017",,,"Michigan","26","Benzie County","019",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Benzie County, Michigan",,,53,14,27,23,23,13,6,9,9,16,19,13,12,90,9,10,10,10,10,10,10,10,10,10,10,10,4,10,4,53,23,25,34,32,34,40,19,8,5493,92,57,57,56,30,10,66
"G26001900004001","2013-2017",,,"Michigan","26","Benzie County","019",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4, Benzie County, Michigan",,,66,22,35,25,13,10,6,12,6,6,18,23,13,139,4,10,10,10,10,10,10,10,15,10,5,33,19,10,18,59,4,23,37,21,53,51,19,17,12602,150,101,96,94,19,39,106
"G26001900004002","2013-2017",,,"Michigan","26","Benzie County","019",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4, Benzie County, Michigan",,,85,35,34,31,15,14,21,5,10,9,32,7,10,120,10,10,5,10,10,10,10,10,10,10,6,10,10,31,14,58,16,27,36,19,45,22,12,11,10907,133,89,89,87,18,10,92
"G26001900005001","2013-2017",,,"Michigan","26","Benzie County","019",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5, Benzie County, Michigan",,,99,13,32,36,50,24,7,20,9,15,37,19,14,128,6,10,10,10,10,10,10,10,34,3,38,9,14,12,10,63,47,22,87,44,28,17,4,7,6309,141,115,115,100,64,10,85
"G26001900005002","2013-2017",,,"Michigan","26","Benzie County","019",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 5, Benzie County, Michigan",,,60,33,20,20,37,13,6,4,9,10,17,8,5,76,10,10,10,10,10,10,10,10,10,10,10,6,10,11,13,48,5,4,25,17,40,14,11,10,14391,92,70,69,65,10,6,46
"G26001900005003","2013-2017",,,"Michigan","26","Benzie County","019",,,"000500","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 5, Benzie County, Michigan",,,62,17,12,25,21,13,9,6,6,11,8,20,8,80,10,10,10,10,10,10,10,10,10,10,4,4,10,4,5,40,6,30,31,22,30,18,12,5,5620,91,72,72,66,13,10,59
"G26001909900000","2013-2017",,,"Michigan","26","Benzie County","019",,,"990000","0",,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9900, Benzie County, Michigan",,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10
"G26002100003001","2013-2017",,,"Michigan","26","Berrien County","021",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Berrien County, Michigan",,,142,10,104,62,41,45,10,10,10,10,26,10,10,127,22,10,10,10,10,10,10,10,10,14,10,10,46,19,10,76,49,39,57,29,22,10,10,10,7181,208,157,157,142,71,10,99
"G26002100003002","2013-2017",,,"Michigan","26","Berrien County","021",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Berrien County, Michigan",,,141,45,18,64,92,10,10,10,24,10,50,10,10,182,35,10,10,10,10,17,10,25,21,16,30,39,28,47,31,55,29,15,115,54,14,27,10,10,5203,198,158,158,142,98,10,119
"G26002100004001","2013-2017",,,"Michigan","26","Berrien County","021",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 4, Berrien County, Michigan",,,104,15,23,60,52,8,35,40,10,10,9,10,10,109,10,10,10,10,10,10,10,10,22,7,20,7,28,35,24,97,17,31,33,20,10,10,10,10,2397,133,111,111,104,28,10,78
"G26002100004002","2013-2017",,,"Michigan","26","Berrien County","021",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 4, Berrien County, Michigan",,,118,22,53,63,28,33,24,9,10,10,42,28,10,133,10,10,10,10,10,10,14,15,24,8,21,11,41,32,18,78,40,30,45,27,28,17,21,10,2641,166,124,124,118,59,10,102
"G26002100005001","2013-2017",,,"Michigan","26","Berrien County","021",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 5, Berrien County, Michigan",,,106,68,48,57,46,60,22,22,10,10,10,10,10,120,24,10,10,10,10,10,10,8,10,10,10,44,71,61,25,98,28,20,48,42,30,35,16,10,3826,155,122,122,90,96,10,124
"G26002100006001","2013-2017",,,"Michigan","26","Berrien County","021",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 6, Berrien County, Michigan",,,159,29,26,127,41,59,52,15,10,30,10,10,10,195,29,10,10,10,10,10,10,26,13,10,24,18,28,75,21,109,54,46,66,84,15,26,10,10,4292,243,191,191,161,83,10,126
"G26002100006002","2013-2017",,,"Michigan","26","Berrien County","021",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 6, Berrien County, Michigan",,,162,10,57,116,76,45,41,9,10,30,19,10,10,206,10,10,10,10,10,10,10,10,10,14,15,37,18,11,45,131,42,44,109,42,33,10,10,10,3265,239,191,191,163,85,10,155
"G26002100006003","2013-2017",,,"Michigan","26","Berrien County","021",,,"000600","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 6, Berrien County, Michigan",,,89,10,26,55,14,57,10,13,10,10,14,10,10,151,10,10,10,10,10,10,10,10,10,10,10,22,10,46,41,93,19,35,54,36,40,21,10,10,21179,151,105,105,89,39,10,131
"G26002100007001","2013-2017",,,"Michigan","26","Berrien County","021",,,"000700","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7, Berrien County, Michigan",,,109,24,60,32,57,33,10,24,14,8,10,10,20,110,10,10,10,10,10,10,10,10,10,10,10,17,16,10,10,38,24,42,70,46,24,39,10,10,12190,123,113,113,113,7,10,49
"G26002100007002","2013-2017",,,"Michigan","26","Berrien County","021",,,"000700","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7, Berrien County, Michigan",,,160,56,103,98,22,45,10,20,10,10,26,10,10,147,10,10,10,10,10,10,10,10,10,10,14,10,10,8,10,109,10,65,59,65,32,44,10,10,17401,230,160,160,160,41,10,116
"G26002100007003","2013-2017",,,"Michigan","26","Berrien County","021",,,"000700","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7, Berrien County, Michigan",,,140,9,47,86,67,32,24,22,10,27,35,10,19,144,25,10,10,10,10,10,10,10,10,10,10,10,10,16,10,82,20,59,130,52,60,55,10,14,6131,154,147,147,141,40,10,80
"G26002100008001","2013-2017",,,"Michigan","26","Berrien County","021",,,"000800","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 8, Berrien County, Michigan",,,231,65,136,125,86,31,21,31,33,10,21,10,18,210,10,10,10,10,10,10,10,10,12,11,10,16,13,22,23,84,34,70,168,59,110,74,10,10,13198,245,228,228,228,23,10,166
"G26002100008002","2013-2017",,,"Michigan","26","Berrien County","021",,,"000800","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 8, Berrien County, Michigan",,,233,59,142,107,106,64,41,64,29,10,10,10,10,286,10,10,10,10,10,10,10,10,10,10,10,10,10,66,28,180,51,59,93,45,140,108,98,10,11011,290,251,251,248,84,10,186
"G26002100008003","2013-2017",,,"Michigan","26","Berrien County","021",,,"000800","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 8, Berrien County, Michigan",,,179,31,119,82,36,35,10,42,31,26,26,32,10,199,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,63,26,34,62,62,109,102,65,10,21403,211,180,180,180,10,10,149
"G26002100009001","2013-2017",,,"Michigan","26","Berrien County","021",,,"000900","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9, Berrien County, Michigan",,,118,37,42,90,64,69,10,25,8,10,13,6,9,119,18,10,10,10,10,10,19,10,10,10,13,13,10,18,40,80,14,14,48,42,50,36,14,30,5605,129,122,122,118,20,10,111
"G26002100009002","2013-2017",,,"Michigan","26","Berrien County","021",,,"000900","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9, Berrien County, Michigan",,,92,10,75,34,34,17,10,17,10,10,10,10,9,78,10,10,10,10,10,10,10,10,10,10,10,10,6,26,10,36,9,21,39,31,35,54,25,10,19523,108,93,93,92,11,10,55
"G26002100010001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001000","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 10, Berrien County, Michigan",,,94,31,54,60,41,28,14,29,8,13,10,10,7,87,10,10,10,10,10,10,7,5,10,10,10,10,10,6,8,48,8,41,31,38,61,53,13,16,8975,108,98,98,99,10,10,59
"G26002100010002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001000","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 10, Berrien County, Michigan",,,71,12,28,43,21,30,10,12,10,27,16,10,10,79,10,10,10,10,10,10,10,10,10,10,8,10,10,10,12,36,10,13,50,22,46,48,16,10,17394,88,87,87,74,31,10,50
"G26002100011001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 11, Berrien County, Michigan",,,160,36,101,80,69,65,15,30,20,41,26,22,16,157,14,10,10,10,10,10,10,10,15,10,10,10,10,10,13,103,29,47,74,57,100,80,60,19,13704,173,161,161,161,40,10,109
"G26002100011002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 11, Berrien County, Michigan",,,178,54,115,84,73,71,29,30,10,10,40,10,10,140,10,10,10,10,10,10,10,10,10,10,10,13,10,10,40,113,17,46,74,77,88,79,35,15,8651,179,173,173,177,22,10,108
"G26002100013001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 13, Berrien County, Michigan",,,93,17,43,41,32,42,4,11,4,18,12,12,10,92,10,10,10,10,10,10,10,10,15,10,4,10,5,5,10,45,23,19,42,30,51,60,39,11,12473,104,93,93,93,6,10,71
"G26002100013002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 13, Berrien County, Michigan",,,67,41,28,26,33,23,13,18,10,10,14,10,12,70,10,10,10,10,10,10,10,10,10,10,7,11,10,11,22,48,6,22,30,24,47,28,19,17,14271,80,70,70,70,11,10,68
"G26002100014001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001400","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 14, Berrien County, Michigan",,,138,10,77,72,70,43,27,15,15,13,10,10,11,153,7,10,10,10,10,10,10,10,10,10,23,7,10,8,22,69,14,33,54,58,113,86,36,50,15093,182,143,143,140,44,10,138
"G26002100014002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001400","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 14, Berrien County, Michigan",,,115,10,56,61,54,38,15,13,26,14,31,10,10,127,10,10,10,10,10,10,10,10,10,10,14,14,38,20,14,66,35,38,56,31,100,22,11,10,5647,148,117,117,118,39,10,119
"G26002100014003","2013-2017",,,"Michigan","26","Berrien County","021",,,"001400","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 14, Berrien County, Michigan",,,141,19,66,72,120,34,31,25,10,10,25,32,10,169,10,10,10,10,10,10,10,10,10,10,10,10,23,15,11,169,26,38,46,55,72,48,19,13,14922,203,167,165,143,66,14,109
"G26002100015001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 15, Berrien County, Michigan",,,155,13,70,82,78,45,15,58,34,11,10,10,10,158,15,10,10,10,10,10,10,10,10,10,10,10,14,10,10,82,15,44,66,119,83,79,32,25,16660,168,156,156,157,27,10,96
"G26002100015002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001500","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 15, Berrien County, Michigan",,,93,16,46,42,46,38,20,15,24,10,16,13,6,108,13,10,10,10,10,10,10,10,10,10,10,15,12,5,13,58,21,42,52,29,46,26,4,6,6295,121,100,100,99,11,10,83
"G26002100016001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001600","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 16, Berrien County, Michigan",,,117,34,59,55,78,27,12,30,15,27,19,21,15,97,10,10,10,10,10,10,10,10,10,10,8,10,6,23,21,71,34,43,48,52,76,54,17,18,9121,123,116,116,119,28,10,75
"G26002100017001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001700","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 17, Berrien County, Michigan",,,102,21,57,62,76,22,10,10,10,10,10,10,10,120,20,10,10,10,10,10,10,10,10,10,10,15,19,19,10,77,29,27,56,27,100,34,10,14,12052,133,106,106,102,20,10,87
"G26002100017002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001700","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 17, Berrien County, Michigan",,,93,21,38,32,52,15,30,13,10,14,28,10,10,116,13,10,10,10,10,10,10,10,3,10,14,21,14,10,24,69,38,26,45,28,37,26,10,10,4607,126,98,98,96,19,10,88
"G26002100017003","2013-2017",,,"Michigan","26","Berrien County","021",,,"001700","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 17, Berrien County, Michigan",,,180,66,64,67,94,110,53,46,24,16,10,16,33,138,10,10,10,10,10,10,10,10,10,10,15,10,12,40,13,124,21,37,80,81,115,79,54,38,17206,161,196,196,195,24,10,132
"G26002100018001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001800","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 18, Berrien County, Michigan",,,119,14,42,64,74,14,33,31,11,10,20,11,10,133,10,10,10,10,10,10,10,10,10,10,10,30,10,15,10,51,17,28,39,53,82,66,27,10,9394,152,120,120,117,27,10,75
"G26002100018002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001800","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 18, Berrien County, Michigan",,,124,12,42,75,61,64,35,23,10,18,14,9,10,214,10,12,10,10,10,10,10,12,15,13,32,10,15,11,18,131,24,46,60,56,75,68,38,31,23638,238,128,128,124,19,10,218
"G26002100018003","2013-2017",,,"Michigan","26","Berrien County","021",,,"001800","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 18, Berrien County, Michigan",,,132,10,19,83,91,43,25,70,10,44,7,49,13,151,10,10,10,10,10,10,10,10,10,10,13,14,13,10,10,68,46,53,107,71,73,78,50,13,14497,206,135,135,139,47,10,176
"G26002100019001","2013-2017",,,"Michigan","26","Berrien County","021",,,"001900","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 19, Berrien County, Michigan",,,100,8,29,46,48,38,11,28,10,19,6,11,10,123,8,10,10,10,10,10,10,10,10,7,10,11,24,9,12,54,18,48,32,50,48,34,5,8,8690,124,98,98,100,23,10,78
"G26002100019002","2013-2017",,,"Michigan","26","Berrien County","021",,,"001900","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 19, Berrien County, Michigan",,,67,14,43,21,23,23,28,15,10,14,10,10,10,68,4,10,10,10,14,10,10,10,10,10,4,3,6,9,25,45,16,19,35,36,34,16,10,5,17686,73,69,69,69,30,10,46
"G26002100020001","2013-2017",,,"Michigan","26","Berrien County","021",,,"002000","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 20, Berrien County, Michigan",,,131,42,56,71,52,16,37,24,12,41,10,10,16,135,19,10,10,10,10,10,10,10,10,10,10,35,43,43,17,113,24,40,85,10,21,13,10,10,8432,180,143,143,127,43,10,85
"G26002100020002","2013-2017",,,"Michigan","26","Berrien County","021",,,"002000","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 20, Berrien County, Michigan",,,126,50,44,59,61,10,25,10,10,10,10,22,14,144,10,10,10,10,10,10,10,10,10,10,12,47,21,10,15,101,16,24,56,34,25,35,10,10,6488,153,131,131,128,20,10,79
"G26002100020003","2013-2017",,,"Michigan","26","Berrien County","021",,,"002000","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 20, Berrien County, Michigan",,,180,26,96,116,61,52,22,42,35,10,48,10,28,194,31,10,10,10,10,10,10,10,10,10,10,45,17,63,23,92,37,58,91,107,62,50,18,10,11047,213,181,181,181,41,10,113
"G26002100021001","2013-2017",,,"Michigan","26","Berrien County","021",,,"002100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 21, Berrien County, Michigan",,,89,14,42,21,39,16,10,48,10,10,10,10,10,157,16,10,10,10,31,10,10,10,70,8,20,41,30,29,17,60,44,21,18,21,17,25,9,10,,154,93,93,89,41,10,112
"G26002100021002","2013-2017",,,"Michigan","26","Berrien County","021",,,"002100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 21, Berrien County, Michigan",,,118,10,14,59,14,38,10,44,10,10,10,10,10,140,10,10,10,10,10,10,10,41,11,10,10,10,19,10,10,38,30,53,41,10,14,10,10,10,18757,204,119,119,119,10,10,107
"G26002100021003","2013-2017",,,"Michigan","26","Berrien County","021",,,"002100","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 21, Berrien County, Michigan",,,111,16,37,64,55,29,10,22,10,10,17,24,10,139,56,10,10,10,10,28,10,10,8,13,11,20,20,56,19,91,58,46,79,13,24,15,10,10,6966,171,149,149,114,80,10,132
"G26002100022001","2013-2017",,,"Michigan","26","Berrien County","021",,,"002200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 22, Berrien County, Michigan",,,285,79,124,87,54,20,73,13,10,10,32,10,30,153,14,10,10,10,10,10,10,10,72,10,25,9,22,10,9,72,11,31,135,76,44,10,10,10,11592,290,252,252,282,73,10,115
"G26002100022002","2013-2017",,,"Michigan","26","Berrien County","021",,,"002200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 22, Berrien County, Michigan",,,91,10,10,59,10,10,10,72,10,10,10,10,10,124,23,10,10,10,10,10,10,10,10,10,68,55,65,52,54,22,8,9,60,14,26,10,10,10,2862,176,95,95,91,31,10,164
"G26002100022003","2013-2017",,,"Michigan","26","Berrien County","021",,,"002200","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 22, Berrien County, Michigan",,,27,10,10,17,20,10,11,10,10,10,10,10,10,118,24,10,10,10,10,10,10,10,10,10,26,10,9,65,11,87,10,19,33,9,22,12,10,10,1946,126,87,87,27,84,10,95
"G26002100023001","2013-2017",,,"Michigan","26","Berrien County","021",,,"002300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 23, Berrien County, Michigan",,,75,49,11,10,42,19,22,19,8,10,10,7,10,93,10,10,10,10,10,10,10,10,18,10,10,23,28,22,10,78,13,10,58,14,33,13,10,10,6951,106,82,82,79,40,10,65
"G26002100023002","2013-2017",,,"Michigan","26","Berrien County","021",,,"002300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 23, Berrien County, Michigan",,,142,31,30,98,22,44,8,52,30,10,10,15,10,111,35,10,10,10,10,33,10,10,46,7,18,9,44,27,12,91,25,40,51,15,42,13,10,10,3161,149,138,138,142,34,10,86
"G26002100024001","2013-2017",,,"Michigan","26","Berrien County","021",,,"002400","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 24, Berrien County, Michigan",,,70,16,26,25,33,30,12,21,10,8,15,24,10,104,14,10,10,10,10,10,10,10,10,10,16,6,13,10,10,46,24,24,64,29,23,44,21,10,11943,157,75,75,73,18,10,137
"G26002100024002","2013-2017",,,"Michigan","26","Berrien County","021",,,"002400","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 24, Berrien County, Michigan",,,151,91,82,40,50,51,7,34,8,14,18,10,17,165,34,10,10,10,10,47,10,10,8,10,11,13,10,13,17,102,32,38,44,81,36,25,12,10,8181,173,150,150,151,7,10,100
"G26002100025001","2013-2017",,,"Michigan","26","Berrien County","021",,,"002500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 25, Berrien County, Michigan",,,88,6,15,44,31,31,24,11,31,10,21,10,10,87,7,10,10,10,4,10,10,10,4,10,9,14,13,16,19,75,19,22,26,27,35,10,10,10,15013,104,88,88,88,14,10,101
"G26002100025002","2013-2017",,,"Michigan","26","Berrien County","021",,,"002500","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 25, Berrien County, Michigan",,,131,74,49,58,61,32,16,13,10,22,20,13,8,127,21,10,10,10,10,10,10,10,9,10,22,30,19,10,12,47,41,47,57,43,52,45,26,10,8094,146,135,135,130,24,10,112
"G26002100101001","2013-2017",,,"Michigan","26","Berrien County","021",,,"010100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 101, Berrien County, Michigan",,,131,16,50,52,49,47,28,38,10,10,11,20,10,149,4,10,10,10,10,10,10,10,4,10,14,12,18,28,8,71,87,59,58,41,57,30,15,10,13830,156,128,128,136,50,10,80
"G26002100101002","2013-2017",,,"Michigan","26","Berrien County","021",,,"010100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 101, Berrien County, Michigan",,,86,10,7,14,56,28,26,10,10,10,10,47,15,102,10,10,10,10,10,10,10,10,10,10,10,10,15,7,18,39,24,55,25,31,32,23,10,10,23582,119,92,92,86,21,10,71
"G26002100101003","2013-2017",,,"Michigan","26","Berrien County","021",,,"010100","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 101, Berrien County, Michigan",,,82,10,14,45,52,52,28,15,10,27,14,14,10,112,10,10,10,10,10,10,10,10,10,10,10,10,10,23,18,104,10,31,35,39,25,40,10,10,27642,113,97,97,82,44,10,85
"G26002100101004","2013-2017",,,"Michigan","26","Berrien County","021",,,"010100","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 101, Berrien County, Michigan",,,101,13,27,54,57,62,33,20,17,17,26,10,10,126,10,10,10,10,10,10,10,25,10,10,6,10,31,32,20,73,35,36,51,64,57,24,10,11,8422,139,104,104,104,34,10,96
"G26002100102001","2013-2017",,,"Michigan","26","Berrien County","021",,,"010200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 102, Berrien County, Michigan",,,172,10,133,67,35,153,42,22,10,10,10,10,10,180,22,10,10,10,10,10,10,10,24,10,27,10,23,10,32,92,30,72,56,47,129,18,10,10,24465,197,184,184,172,44,10,93
"G26002100102002","2013-2017",,,"Michigan","26","Berrien County","021",,,"010200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 102, Berrien County, Michigan",,,176,39,59,66,53,100,72,65,31,25,29,10,16,256,10,10,10,10,10,10,21,10,21,10,22,23,47,49,10,135,46,65,97,102,64,20,10,10,13218,270,237,237,205,74,10,122
"G26002100102003","2013-2017",,,"Michigan","26","Berrien County","021",,,"010200","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 102, Berrien County, Michigan",,,99,28,26,31,10,82,21,25,10,10,25,10,10,126,10,10,10,10,10,10,10,10,10,10,22,10,10,17,10,65,10,52,37,67,47,10,10,10,38525,179,111,111,102,29,10,91
"G26002100102004","2013-2017",,,"Michigan","26","Berrien County","021",,,"010200","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 102, Berrien County, Michigan",,,116,10,10,62,42,44,10,27,10,10,20,35,22,103,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,68,20,56,76,10,10,19,35,27,44798,135,111,111,116,41,10,74
"G26002100102005","2013-2017",,,"Michigan","26","Berrien County","021",,,"010200","5",,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 102, Berrien County, Michigan",,,169,10,43,110,31,90,46,40,32,10,30,52,10,174,48,10,10,10,10,10,10,10,26,10,10,15,21,10,109,77,44,66,58,57,66,22,23,10,14868,213,185,185,169,35,10,125
"G26002100102006","2013-2017",,,"Michigan","26","Berrien County","021",,,"010200","6",,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 102, Berrien County, Michigan",,,144,37,42,29,76,73,16,20,14,7,10,15,27,183,4,10,10,10,10,10,10,10,14,22,12,17,15,5,5,98,21,17,78,71,33,23,10,14,9144,241,193,193,164,47,5,146
"G26002100102007","2013-2017",,,"Michigan","26","Berrien County","021",,,"010200","7",,,,,,,,,,,,,,,,,,,,,,,"Block Group 7, Census Tract 102, Berrien County, Michigan",,,125,19,56,37,40,53,16,30,5,5,10,19,12,115,5,10,10,10,10,10,10,10,16,10,5,10,10,10,10,61,75,43,34,26,33,22,5,5,17027,139,127,127,126,14,10,86
"G26002100103001","2013-2017",,,"Michigan","26","Berrien County","021",,,"010300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 103, Berrien County, Michigan",,,131,7,34,31,77,32,28,24,6,12,26,10,10,134,40,10,10,10,10,10,10,10,10,10,10,10,10,6,5,64,20,32,38,34,30,12,10,10,14930,173,139,139,131,25,10,73
"G26002100103002","2013-2017",,,"Michigan","26","Berrien County","021",,,"010300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 103, Berrien County, Michigan",,,111,15,26,47,28,59,15,10,17,20,13,10,10,157,17,10,10,10,10,10,10,10,23,10,10,10,27,10,7,66,22,16,60,19,84,25,10,4,20336,160,109,109,111,17,10,104
"G26002100103003","2013-2017",,,"Michigan","26","Berrien County","021",,,"010300","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 103, Berrien County, Michigan",,,166,48,63,40,41,80,37,64,13,6,10,21,5,180,8,10,7,10,10,10,10,10,10,10,10,26,40,42,10,107,38,46,38,61,29,17,5,10,7478,227,178,178,166,22,10,119
