FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,Occupancy_Status_Total,Occupancy_Status_Occupied,Occupancy_Status_Vacant,Value_Total,Value_Less_than_10000,Value_10000_to_14999,Value_15000_to_19999,Value_20000_to_24999,Value_25000_to_29999,Value_30000_to_34999,Value_35000_to_39999,Value_40000_to_49999,Value_50000_to_59999,Value_60000_to_69999,Value_70000_to_79999,Value_80000_to_89999,Value_90000_to_99999,Value_100000_to_124999,Value_125000_to_149999,Value_150000_to_174999,Value_175000_to_199999,Value_200000_to_249999,Value_250000_to_299999,Value_300000_to_399999,Value_400000_to_499999,Value_500000_to_749999,Value_750000_to_999999,Value_1000000_to_1499999,Value_1500000_to_1999999,Value_2000000_or_more,Median_Value,AH6FE001,AH6FE002,AH6FE003,AH6FE004,AH6FE005,AH6FE006,AH6FE007,AH6FE008,AH6FE009,AH6FE010,AH6FE011,AH6FE012,AH6FE013,AH6FE014,AH6FE015,AH6FE016,AH6FE017,AH6FE018,AH6FE019,AH6FE020,AH6FE021,AH6FE022,AH6FE023,AH6GE001,AH6GE002,AH6GE003,Per_Vacant,UNIQUE_ID
254,26,163,513900,2,2.62E+11,Block Group 2,G5030,S,467889,0,42.3719602,-82.9844559,G26016305139002,2818.877314,467888.5216,G26016305139002,2013-2017, , ,Michigan,26,Wayne County,163, , ,513900,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5139, Wayne County, Michigan",625,347,278,215,44,0,34,7,7,5,6,29,11,0,4,9,3,27,0,0,0,0,0,0,29,0,0,0,0,0,41600,215,36,0,0,0,0,0,7,0,0,29,0,179,106,29,0,10,0,0,9,9,11,5,10,0,10,44.48,254
255,26,163,513900,3,2.62E+11,Block Group 3,G5030,S,349699,0,42.3697804,-82.9895528,G26016305139003,2500.078021,349699.4316,G26016305139003,2013-2017, , ,Michigan,26,Wayne County,163, , ,513900,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5139, Wayne County, Michigan",339,135,204,80,0,0,16,0,0,0,5,8,0,6,0,26,0,4,8,0,7,0,0,0,0,0,0,0,0,0,81900,80,41,0,0,0,22,0,0,0,8,11,0,39,30,0,0,0,0,0,4,0,5,0,22.3,24.7,10,60.17699115,255
256,26,163,514100,1,2.62E+11,Block Group 1,G5030,S,312688,0,42.3775829,-82.9883013,G26016305141001,2235.817088,312687.6945,G26016305141001,2013-2017, , ,Michigan,26,Wayne County,163, , ,514100,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5141, Wayne County, Michigan",470,273,197,137,39,9,0,27,0,0,0,11,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,38,0,9,29,0,0,0,0,0,0,0,99,22,27,11,0,0,28,11,0,0,0,16.3,0,15.2,41.91489362,256
257,26,163,514100,2,2.62E+11,Block Group 2,G5030,S,295390,0,42.3818652,-82.9911962,G26016305141002,2179.646517,295388.4829,G26016305141002,2013-2017, , ,Michigan,26,Wayne County,163, , ,514100,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5141, Wayne County, Michigan",505,219,286,148,10,17,30,0,9,10,9,0,31,0,0,0,11,9,0,0,0,0,12,0,0,0,0,0,0,0,34000,148,21,0,0,0,0,11,0,0,0,10,0,127,41,26,32,9,9,10,0,0,0,0,16.1,0,14.3,56.63366337,257
258,26,163,514100,3,2.62E+11,Block Group 3,G5030,S,527863,0,42.3821285,-82.9839932,G26016305141003,3082.59569,527862.6606,G26016305141003,2013-2017, , ,Michigan,26,Wayne County,163, , ,514100,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5141, Wayne County, Michigan",503,218,285,92,21,0,0,0,0,26,0,11,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34800,92,0,0,0,0,0,0,0,0,0,0,0,92,17,19,24,0,0,21,0,11,0,0,17.1,0,17.1,56.66003976,258
259,26,163,514100,4,2.62E+11,Block Group 4,G5030,S,473699,0,42.3774837,-82.9950256,G26016305141004,3060.699407,473697.6213,G26016305141004,2013-2017, , ,Michigan,26,Wayne County,163, , ,514100,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5141, Wayne County, Michigan",342,205,137,111,38,0,14,9,0,10,0,0,0,0,0,11,18,11,0,0,0,0,0,0,0,0,0,0,0,0,21900,111,57,0,0,12,0,0,0,0,10,17,18,54,0,0,20,0,26,0,0,8,0,0,27.8,47.5,26.3,40.05847953,259
260,26,163,514200,1,2.62E+11,Block Group 1,G5030,S,312359,0,42.3821854,-83.0047876,G26016305142001,2241.245184,312357.8837,G26016305142001,2013-2017, , ,Michigan,26,Wayne County,163, , ,514200,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5142, Wayne County, Michigan",327,187,140,50,34,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,50,10,0,0,0,10,0,0,0,0,0,0,40,0,16,15,0,0,0,0,0,9,0,18,0,16.3,42.81345566,260
261,26,163,514200,2,2.62E+11,Block Group 2,G5030,S,207080,0,42.3864789,-83.0072905,G26016305142002,1953.372769,207080.8898,G26016305142002,2013-2017, , ,Michigan,26,Wayne County,163, , ,514200,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5142, Wayne County, Michigan",306,262,44,109,40,11,32,0,0,0,0,4,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500,109,28,0,0,0,11,0,0,0,0,17,0,81,12,55,0,10,4,0,0,0,0,0,13.9,0,12.6,14.37908497,261
262,26,163,514200,3,2.62E+11,Block Group 3,G5030,S,164874,0,42.3771305,-83.0139984,G26016305142003,1978.959062,164873.4263,G26016305142003,2013-2017, , ,Michigan,26,Wayne County,163, , ,514200,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5142, Wayne County, Michigan",349,285,64,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33810888,262
263,26,163,514200,4,2.62E+11,Block Group 4,G5030,S,136066,0,42.3813029,-83.0088995,G26016305142004,1916.470227,136066.3692,G26016305142004,2013-2017, , ,Michigan,26,Wayne County,163, , ,514200,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5142, Wayne County, Michigan",197,160,37,102,20,24,0,0,5,0,0,22,7,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,102,24,0,6,0,0,0,0,0,0,18,0,78,17,11,26,0,0,0,0,24,0,0,18.3,0,17.1,18.78172589,263
264,26,163,514200,5,2.62E+11,Block Group 5,G5030,S,161918,0,42.3797223,-83.0108197,G26016305142005,1797.93406,161918.0064,G26016305142005,2013-2017, , ,Michigan,26,Wayne County,163, , ,514200,5, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 5, Census Tract 5142, Wayne County, Michigan",288,163,125,66,26,16,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200,66,0,0,0,0,0,0,0,0,0,0,0,66,0,9,10,16,0,0,0,14,17,0,24.4,0,24.4,43.40277778,264
265,26,163,514300,1,2.62E+11,Block Group 1,G5030,S,924977,0,42.3906584,-82.9872595,G26016305143001,4342.449546,924977.528,G26016305143001,2013-2017, , ,Michigan,26,Wayne County,163, , ,514300,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5143, Wayne County, Michigan",506,384,122,122,46,0,0,0,0,43,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31700,122,41,0,14,0,9,0,0,0,0,18,0,81,13,39,0,0,29,0,0,0,0,0,14.5,23.6,13.5,24.11067194,265
266,26,163,514300,2,2.62E+11,Block Group 2,G5030,S,546830,0,42.3879243,-82.995751,G26016305143002,3478.685797,546831.7868,G26016305143002,2013-2017, , ,Michigan,26,Wayne County,163, , ,514300,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5143, Wayne County, Michigan",359,248,111,140,42,16,0,0,0,7,8,22,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38100,140,6,0,0,0,0,0,0,0,0,6,0,134,29,15,22,0,7,10,16,8,8,19,18.8,0,18.1,30.91922006,266
267,26,163,514300,3,2.62E+11,Block Group 3,G5030,S,547306,0,42.3867611,-83.0014489,G26016305143003,3323.039579,547305.6296,G26016305143003,2013-2017, , ,Michigan,26,Wayne County,163, , ,514300,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5143, Wayne County, Michigan",598,438,160,202,52,9,16,7,16,19,0,26,0,0,0,0,0,0,0,0,0,0,0,18,29,10,0,0,0,0,30300,202,60,0,0,0,0,0,0,0,0,60,0,142,37,0,35,8,18,0,10,15,19,0,36.5,50,19.9,26.75585284,267
268,26,163,514500,1,2.62E+11,Block Group 1,G5030,S,262359,0,42.375493,-82.9982351,G26016305145001,2792.662972,262359.1489,G26016305145001,2013-2017, , ,Michigan,26,Wayne County,163, , ,514500,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5145, Wayne County, Michigan",271,169,102,56,5,12,0,0,4,13,0,0,0,4,0,4,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,56,11,7,0,0,4,0,0,0,0,0,0,45,9,17,4,10,0,0,0,0,5,0,13.5,0,14,37.63837638,268
269,26,163,514500,2,2.62E+11,Block Group 2,G5030,S,301577,0,42.375162,-83.0013537,G26016305145002,2889.808902,301576.4378,G26016305145002,2013-2017, , ,Michigan,26,Wayne County,163, , ,514500,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5145, Wayne County, Michigan",421,295,126,126,32,5,8,9,0,5,5,22,4,0,18,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,39000,126,26,11,0,0,5,0,0,0,0,10,0,100,14,5,13,9,4,0,0,4,13,38,20.4,22,19.6,29.92874109,269
270,26,163,515200,1,2.62E+11,Block Group 1,G5030,S,483201,0,42.3595797,-83.0042254,G26016305152001,2848.612144,483201.7624,G26016305152001,2013-2017, , ,Michigan,26,Wayne County,163, , ,515200,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5152, Wayne County, Michigan",474,297,177,168,20,5,4,0,13,51,0,0,0,0,12,11,0,4,20,0,0,0,24,0,0,0,0,0,0,4,0,168,28,0,0,11,0,0,0,0,13,4,0,140,80,25,6,0,0,0,4,13,12,0,10.8,42.3,10,37.34177215,270
271,26,163,515200,2,2.62E+11,Block Group 2,G5030,S,446305,0,42.3639179,-83.0072284,G26016305152002,2744.400224,446305.6466,G26016305152002,2013-2017, , ,Michigan,26,Wayne County,163, , ,515200,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5152, Wayne County, Michigan",466,293,173,163,22,0,15,30,5,0,20,0,29,0,23,0,0,10,5,0,0,0,4,0,0,0,0,0,0,0,37400,163,14,10,0,0,0,0,0,4,0,0,0,149,22,14,51,0,17,0,15,0,4,26,17.2,0,17.5,37.12446352,271
272,26,163,515300,1,2.62E+11,Block Group 1,G5030,S,270348,0,42.3546861,-82.9977402,G26016305153001,2411.420733,270347.6271,G26016305153001,2013-2017, , ,Michigan,26,Wayne County,163, , ,515300,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5153, Wayne County, Michigan",776,542,234,127,0,0,22,9,0,0,0,0,44,13,0,9,0,8,0,17,0,0,5,0,0,0,0,0,0,0,57400,127,88,0,11,46,9,0,9,0,0,13,0,39,22,9,0,0,0,0,0,0,8,0,17.3,18.6,10,30.15463918,272
273,26,163,515300,2,2.62E+11,Block Group 2,G5030,S,187656,0,42.3499307,-83.0004003,G26016305153002,1761.965767,187655.578,G26016305153002,2013-2017, , ,Michigan,26,Wayne County,163, , ,515300,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5153, Wayne County, Michigan",1091,970,121,19,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09074244,273
274,26,163,515300,3,2.62E+11,Block Group 3,G5030,S,337116,0,42.3540407,-83.0028889,G26016305153003,2336.779631,337117.3258,G26016305153003,2013-2017, , ,Michigan,26,Wayne County,163, , ,515300,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5153, Wayne County, Michigan",413,261,152,143,10,0,0,0,0,0,0,11,11,0,0,10,32,26,9,0,17,12,0,5,0,0,0,0,0,0,99200,143,112,9,18,20,8,43,5,0,0,9,0,31,11,20,0,0,0,0,0,0,0,0,18.4,25.1,11.1,36.80387409,274
275,26,163,515400,1,2.62E+11,Block Group 1,G5030,S,493004,0,42.3644406,-82.9986307,G26016305154001,3079.592466,493002.2307,G26016305154001,2013-2017, , ,Michigan,26,Wayne County,163, , ,515400,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5154, Wayne County, Michigan",316,282,34,232,8,5,6,10,0,0,4,0,0,26,7,0,0,0,0,3,0,26,62,43,0,18,14,0,0,0,266900,232,120,0,14,40,17,8,6,15,0,20,0,112,46,12,33,4,11,0,0,0,6,0,18,21.8,14.2,10.75949367,275
276,26,163,515400,2,2.62E+11,Block Group 2,G5030,S,409461,0,42.356786,-82.9936689,G26016305154002,2682.471719,409460.3706,G26016305154002,2013-2017, , ,Michigan,26,Wayne County,163, , ,515400,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5154, Wayne County, Michigan",554,383,171,161,6,19,0,0,0,0,0,5,0,0,0,0,0,11,7,6,0,27,20,11,15,19,0,15,0,0,249100,161,87,12,0,15,7,9,5,11,6,22,0,74,16,5,0,15,0,26,0,0,12,0,30.2,30.5,30.2,30.86642599,276
277,26,163,515600,1,2.62E+11,Block Group 1,G5030,S,318287,0,42.3595628,-82.9887179,G26016305156001,2302.33006,318286.5089,G26016305156001,2013-2017, , ,Michigan,26,Wayne County,163, , ,515600,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5156, Wayne County, Michigan",473,337,136,30,4,0,1,10,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,15,0,0,0,0,0,5,0,10,0,10,0,10,28.75264271,277
278,26,163,515600,2,2.62E+11,Block Group 2,G5030,S,546611,0,42.3665019,-82.9935401,G26016305156002,3202.713811,546612.1918,G26016305156002,2013-2017, , ,Michigan,26,Wayne County,163, , ,515600,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5156, Wayne County, Michigan",412,273,139,124,45,4,20,0,0,10,0,6,17,0,5,0,0,0,5,0,0,0,0,4,8,0,0,0,0,0,0,124,23,5,0,0,0,0,4,0,0,14,0,101,4,13,14,26,5,0,0,0,13,26,22.5,50,21.3,33.73786408,278
279,26,163,515700,1,2.62E+11,Block Group 1,G5030,S,540071,1059803,42.3522749,-82.9874086,G26016305157001,5508.235873,540071.9872,G26016305157001,2013-2017, , ,Michigan,26,Wayne County,163, , ,515700,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5157, Wayne County, Michigan",2780,2092,688,572,21,13,131,83,72,13,0,34,119,0,15,0,0,0,30,0,0,0,23,18,0,0,0,0,0,0,27600,572,114,15,0,34,0,0,0,0,0,65,0,458,233,15,13,116,44,0,0,0,37,0,17.4,50,10,24.74820144,279
280,26,163,515700,2,2.62E+11,Block Group 2,G5030,S,667979,0,42.3573883,-82.9802535,G26016305157002,3435.547663,667979.3775,G26016305157002,2013-2017, , ,Michigan,26,Wayne County,163, , ,515700,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5157, Wayne County, Michigan",587,525,62,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,13,20,0,0,0,0,0,0,195500,71,44,0,20,0,0,0,0,0,24,0,0,27,13,0,14,0,0,0,0,0,0,0,15.9,0,0,10.56218058,280
281,26,163,515900,1,2.62E+11,Block Group 1,G5030,S,614081,0,42.3856258,-83.0136516,G26016305159001,3811.920978,614081.2488,G26016305159001,2013-2017, , ,Michigan,26,Wayne County,163, , ,515900,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5159, Wayne County, Michigan",557,364,193,224,72,0,22,6,11,39,0,45,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,30100,224,47,0,18,0,0,0,0,0,0,29,0,177,31,24,4,13,12,37,23,0,25,8,30.8,50,30.1,34.64991023,281
282,26,163,515900,2,2.62E+11,Block Group 2,G5030,S,376332,0,42.382642,-83.0212283,G26016305159002,2537.499405,376331.5228,G26016305159002,2013-2017, , ,Michigan,26,Wayne County,163, , ,515900,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5159, Wayne County, Michigan",128,43,85,24,6,0,0,0,0,4,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,24,16,0,0,6,0,10,0,0,0,0,0,8,0,0,0,4,0,0,0,0,4,0,26,0,0,66.40625,282
283,26,163,515900,3,2.62E+11,Block Group 3,G5030,S,277915,0,42.3775741,-83.0183418,G26016305159003,2344.937349,277914.3627,G26016305159003,2013-2017, , ,Michigan,26,Wayne County,163, , ,515900,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5159, Wayne County, Michigan",179,64,115,15,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,9,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,64.24581006,283
284,26,163,516000,1,2.62E+11,Block Group 1,G5030,S,483910,0,42.3734739,-83.0049992,G26016305160001,3179.634432,483908.9321,G26016305160001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516000,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5160, Wayne County, Michigan",470,315,155,283,28,10,11,14,10,0,0,55,58,0,7,31,0,25,0,0,0,0,34,0,0,0,0,0,0,0,52300,283,83,7,0,36,13,0,18,0,9,0,0,200,54,76,36,6,10,0,0,0,18,0,15.3,19.8,13,32.9787234,284
285,26,163,516000,2,2.62E+11,Block Group 2,G5030,S,237615,0,42.3715327,-83.0079017,G26016305160002,2817.838294,237613.9752,G26016305160002,2013-2017, , ,Michigan,26,Wayne County,163, , ,516000,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5160, Wayne County, Michigan",216,148,68,121,0,0,76,39,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,121,6,0,0,0,0,0,0,0,6,0,0,115,32,0,0,0,0,0,0,0,76,7,50,0,0,31.48148148,285
286,26,163,516000,3,2.62E+11,Block Group 3,G5030,S,358186,0,42.3707402,-83.011008,G26016305160003,2901.422076,358186.9869,G26016305160003,2013-2017, , ,Michigan,26,Wayne County,163, , ,516000,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5160, Wayne County, Michigan",343,187,156,66,0,10,27,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19300,66,14,0,0,0,0,0,0,0,0,14,0,52,0,0,0,10,0,11,15,0,16,0,39,0,36.7,45.48104956,286
287,26,163,516000,4,2.62E+11,Block Group 4,G5030,S,356372,0,42.3694934,-83.0144562,G26016305160004,2855.689871,356373.8406,G26016305160004,2013-2017, , ,Michigan,26,Wayne County,163, , ,516000,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5160, Wayne County, Michigan",295,167,128,104,20,20,0,2,0,0,1,44,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,42000,104,25,0,0,0,0,0,0,3,0,22,0,79,33,1,0,0,2,0,0,14,29,0,49.3,0,42.5,43.38983051,287
288,26,163,516100,1,2.62E+11,Block Group 1,G5030,S,375867,0,42.3735087,-83.0221863,G26016305161001,3157.372172,375866.0913,G26016305161001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516100,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5161, Wayne County, Michigan",260,133,127,67,5,6,9,0,0,10,0,5,0,5,4,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,67,10,0,0,0,0,0,0,5,0,5,0,57,0,15,0,28,0,5,0,4,0,5,22.9,0,22,48.84615385,288
289,26,163,516100,2,2.62E+11,Block Group 2,G5030,S,973496,0,42.376491,-83.0272523,G26016305161002,5497.997481,973495.6056,G26016305161002,2013-2017, , ,Michigan,26,Wayne County,163, , ,516100,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5161, Wayne County, Michigan",182,94,88,52,3,9,0,5,0,0,0,6,6,7,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,55000,52,19,0,0,6,0,0,0,0,7,6,0,33,11,7,0,6,0,0,0,3,6,0,21.7,45,13.9,48.35164835,289
290,26,163,516200,1,2.62E+11,Block Group 1,G5030,S,243672,0,42.3683237,-83.0184084,G26016305162001,2136.731122,243672.1971,G26016305162001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516200,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5162, Wayne County, Michigan",214,148,66,64,0,8,19,10,0,0,0,15,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,64,5,5,0,0,0,0,0,0,0,0,0,59,3,0,0,7,8,9,0,20,5,7,33.1,0,34.4,30.8411215,290
291,26,163,516200,2,2.62E+11,Block Group 2,G5030,S,321541,0,42.3645129,-83.0193412,G26016305162002,2792.176077,321539.5308,G26016305162002,2013-2017, , ,Michigan,26,Wayne County,163, , ,516200,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5162, Wayne County, Michigan",229,118,111,35,3,0,0,0,0,14,0,7,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40700,35,12,7,0,0,5,0,0,0,0,0,0,23,3,20,0,0,0,0,0,0,0,0,11.9,0,12.1,48.47161572,291
292,26,163,516300,1,2.62E+11,Block Group 1,G5030,S,619160,0,42.3595713,-83.0152242,G26016305163001,3136.8882,619160.0571,G26016305163001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516300,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5163, Wayne County, Michigan",394,185,209,76,5,4,0,23,0,1,0,8,0,0,10,5,9,0,0,0,0,0,9,0,0,1,0,1,0,0,0,76,33,0,0,0,0,0,10,0,13,10,0,43,10,0,15,8,4,0,0,0,5,1,30.3,45,18.7,53.04568528,292
293,26,163,516400,1,2.62E+11,Block Group 1,G5030,S,471915,0,42.348494,-83.0071515,G26016305164001,3149.882122,471915.4966,G26016305164001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516400,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5164, Wayne County, Michigan",451,268,183,97,0,0,0,0,0,0,0,6,0,26,0,0,2,11,0,6,6,35,0,5,0,0,0,0,0,0,164600,97,59,0,32,0,11,0,0,12,0,4,0,38,14,0,0,0,0,6,0,0,18,0,21.1,14.6,34.2,40.57649667,293
294,26,163,516400,2,2.62E+11,Block Group 2,G5030,S,558582,0,42.3528511,-83.011694,G26016305164002,3478.24238,558581.6741,G26016305164002,2013-2017, , ,Michigan,26,Wayne County,163, , ,516400,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5164, Wayne County, Michigan",257,135,122,86,35,0,4,0,0,0,0,4,15,5,0,5,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,86,4,0,4,0,0,0,0,0,0,0,0,82,18,19,25,0,0,0,5,0,15,0,15.4,0,15.8,47.47081712,294
295,26,163,516500,1,2.62E+11,Block Group 1,G5030,S,1338783,1045874,42.3373711,-83.0153019,G26016305165001,6918.572867,1338783.748,G26016305165001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516500,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5165, Wayne County, Michigan",1232,1064,168,179,4,0,12,0,0,0,0,3,2,1,0,13,0,21,12,10,6,22,19,51,3,0,0,0,0,0,212500,179,129,15,26,30,10,31,0,0,10,7,0,50,7,10,3,0,11,0,0,2,17,0,19.8,18.9,27.3,13.63636364,295
296,26,163,516600,1,2.62E+11,Block Group 1,G5030,S,206217,0,42.3385995,-83.0266041,G26016305166001,1852.35897,206215.9994,G26016305166001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516600,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5166, Wayne County, Michigan",553,553,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,296
297,26,163,516600,2,2.62E+11,Block Group 2,G5030,S,484885,0,42.3425403,-83.0174602,G26016305166002,3220.082244,484886.0842,G26016305166002,2013-2017, , ,Michigan,26,Wayne County,163, , ,516600,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5166, Wayne County, Michigan",635,534,101,139,30,8,0,0,31,0,0,14,25,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,40400,139,75,7,26,0,9,0,10,0,9,14,0,64,0,0,31,0,0,0,0,0,33,0,23.1,22.5,50,15.90551181,297
298,26,163,516700,1,2.62E+11,Block Group 1,G5030,S,975926,0,42.3493485,-83.0206389,G26016305167001,4423.140531,975926.0688,G26016305167001,2013-2017, , ,Michigan,26,Wayne County,163, , ,516700,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5167, Wayne County, Michigan",1114,1093,21,189,0,0,0,0,21,0,0,0,21,0,9,0,29,13,25,67,4,0,0,0,0,0,0,0,0,0,126500,189,113,9,9,21,12,27,0,8,10,4,13,76,0,64,0,0,0,0,0,0,0,12,15,24.6,0,1.885098743,298
